"Identifier";"CERIF Class";"CERIF Scheme"
"URL";"7f65458e-00de-4eaf-8109-01e517790a2c";"bccb3266-689d-4740-a039-c96594b4d916"
"DOI";"31d222b4-11e0-434b-b5ae-088119c51189";"bccb3266-689d-4740-a039-c96594b4d916"
"ISBN";"c424da87-2d94-471a-977a-2412b7eb89fd";"bccb3266-689d-4740-a039-c96594b4d916"
"ISSN";"117a8179-1779-494b-9fb3-4f8bb806ebce";"bccb3266-689d-4740-a039-c96594b4d916"
"eISSN";"";""
"dnbID";"";""
"PMCID";"56f4fdbc-39a7-42cd-bd35-9d0d8c95f6da";"bccb3266-689d-4740-a039-c96594b4d923"
"Handle";"baaa59e1-745b-46e3-b068-aaa3dae9eef9";"bccb3266-689d-4740-a039-c96594b4d920"
"ISMN";"";""
"OPUS ID";"";""
"PMID";"";""
"ScopusID";"24ddadbc-9b33-40c5-9d25-73b055f0183a";"bccb3266-689d-4740-a039-c96594b4d924"
"UPC";"";""
"URN";"dcfcf382-efab-4be2-8651-7b5d490f265a";"bccb3266-689d-4740-a039-c96594b4d924"
"WoSID";"008f9358-61db-46e2-8157-beb55e972aa6";"bccb3266-689d-4740-a039-c96594b4d924"
