"publikationstyp";"KDSF key"
"Monographie";"kdsf:Monographie"
"Sammelband";"kdsf:Sammelband"
"Bibliographie";"kdsf:BibliographiePublikationstyp"
"Quellenedition";"kdsf:QuelleneditionPublikationstyp"
"Journalartikel";"kdsf:Journalartikel"
"ePaper";"kdsf:ePaper"
"Sammelbandbeitrag";"kdsf:Sammelbandbeitrag"
"Software";"kdsf:Software"
"Sonderheft einer Zeitschrift";"kdsf:HerausgeberschaftEinesSonderheftsEinerZeitschrift"
"Forschungsdaten";"kdsf:Datensammlung"
"Konferenzposter";"kdsf:Konferenzposter"
"Beiträge/Interviews in nicht-wissenschaftlichen Medien";"kdsf:BeitraegeInterviewsInNicht-wissenschaftlichenMedien"
"Wissenschaftliche Vortragsfolien";"kdsf:WissenschaftlicheVortragsfolien"
"Arbeitspapier/Forschungsbericht";"kdsf:ArbeitspapierForschungsbericht"
"Neuer Publikations- oder Dokumententyp";"kdsf:NeuerPublikationstyp"
